raw_string,true_label,predicted_label
https://hall.biz/,Website URL,Website URL
19,Age,Age
1984-02-18,Birthday,Birthday
1970-05-29,Birthday,Birthday
Nutritional therapist,Occupation,Occupation
615-99-4735,Social Security Number,Social Security Number
B+,Blood Type,Blood Type
156,Height,Height
213124398394834,Credit Card Number,Credit Card Number
1423 GC,License Plate,License Plate
VISA 16 digit,Credit Card Provider,Credit Card Provider
03/30,Credit Card Expiry Date,Credit Card Expiry Date
Asian,Ethnicity,Ethnicity
197,Height,Height
1965-07-19,Birthday,Birthday
676149818194,Credit Card Number,Credit Card Number
05/33,Credit Card Expiry Date,Credit Card Expiry Date
Dramatherapist,Occupation,Occupation
Female,Gender,Gender
30298232778989,Credit Card Number,Credit Card Number
56,Weight,Age
O-,Blood Type,Blood Type
07/29,Credit Card Expiry Date,Credit Card Expiry Date
Anthony Walker,Name,Occupation
M,Sex,Sex
741-88-7461,Social Security Number,Social Security Number
morahunter@example.org,Email Address,Email Address
Higher education careers adviser,Occupation,Occupation
161,Credit Card Security Code,Height
53,Age,Age
1975-09-15,Birthday,Birthday
https://cortez-perez.com/,Website URL,Website URL
766,Credit Card Security Code,Credit Card Security Code
4501286792661,Credit Card Number,Credit Card Number
VISA 19 digit,Credit Card Provider,Credit Card Provider
Multimedia programmer,Occupation,Occupation
37,Age,Age
177,Height,Height
"9436 Davis Flats
West Tiffanymouth, NJ 61003",Address,Address
F,Sex,Sex
Associate,Education Level,Education Level
4894080465849076,Credit Card Number,Credit Card Number
001-402-578-6484x2309,Mobile Phone,Mobile Phone
440,Credit Card Security Code,Credit Card Security Code
913,Credit Card Security Code,Credit Card Security Code
151,Height,Height
African American,Ethnicity,Ethnicity
434-31-6865,Social Security Number,Social Security Number
840,Credit Card Security Code,Credit Card Security Code
4757765855151,Credit Card Number,Credit Card Number
